Post,Root Comment,Reply
"Anh chị ơi , cho e xin Review thầy cô về mấy môn này được ko ak!!Cấu trúc dữ liệu và giải thuật 
- CN. Nguyễn Đình Tuân 
Linh kiện điện tử 
- TS. Bùi Thanh Tùng 
Kỹ thuật điện 
-  PGS.TS. Chử Đức Trình",m học cấu trúc ai đó bảo a để a đk học chung vs,Nguyễn Trọng Dũng a tạch đnag học lại đấy...còn ccô Thanh thì a biết
"Anh chị ơi , cho e xin Review thầy cô về mấy môn này được ko ak!!Cấu trúc dữ liệu và giải thuật 
- CN. Nguyễn Đình Tuân 
Linh kiện điện tử 
- TS. Bùi Thanh Tùng 
Kỹ thuật điện 
-  PGS.TS. Chử Đức Trình",m học cấu trúc ai đó bảo a để a đk học chung vs,"Hoàng Tâm  ừ ok , mai hẹn 9h hoàng đạo"
"Anh chị ơi , cho e xin Review thầy cô về mấy môn này được ko ak!!Cấu trúc dữ liệu và giải thuật 
- CN. Nguyễn Đình Tuân 
Linh kiện điện tử 
- TS. Bùi Thanh Tùng 
Kỹ thuật điện 
-  PGS.TS. Chử Đức Trình",m học cấu trúc ai đó bảo a để a đk học chung vs,Nguyễn Trọng Dũng vậy dk ai cho a theo vs
"Anh chị ơi , cho e xin Review thầy cô về mấy môn này được ko ak!!Cấu trúc dữ liệu và giải thuật 
- CN. Nguyễn Đình Tuân 
Linh kiện điện tử 
- TS. Bùi Thanh Tùng 
Kỹ thuật điện 
-  PGS.TS. Chử Đức Trình",m học cấu trúc ai đó bảo a để a đk học chung vs,Nguyễn Trọng Dũng cô thanh á  đừng mơ 1 giấc mơ đẹp
"Anh chị ơi , cho e xin Review thầy cô về mấy môn này được ko ak!!Cấu trúc dữ liệu và giải thuật 
- CN. Nguyễn Đình Tuân 
Linh kiện điện tử 
- TS. Bùi Thanh Tùng 
Kỹ thuật điện 
-  PGS.TS. Chử Đức Trình",m học cấu trúc ai đó bảo a để a đk học chung vs,Bành Đức Minh  đù -.- răng đâyyyy
"Anh chị ơi , cho e xin Review thầy cô về mấy môn này được ko ak!!Cấu trúc dữ liệu và giải thuật 
- CN. Nguyễn Đình Tuân 
Linh kiện điện tử 
- TS. Bùi Thanh Tùng 
Kỹ thuật điện 
-  PGS.TS. Chử Đức Trình",m học cấu trúc ai đó bảo a để a đk học chung vs,"Nguyễn Trọng Dũng chừa cô thanh ra, còn ai cũng đc"
"Anh chị ơi , cho e xin Review thầy cô về mấy môn này được ko ak!!Cấu trúc dữ liệu và giải thuật 
- CN. Nguyễn Đình Tuân 
Linh kiện điện tử 
- TS. Bùi Thanh Tùng 
Kỹ thuật điện 
-  PGS.TS. Chử Đức Trình",m học cấu trúc ai đó bảo a để a đk học chung vs,mà học ngành chi mà có cả kĩ thuật điện với linh kiện rứa
"Anh chị ơi , cho e xin Review thầy cô về mấy môn này được ko ak!!Cấu trúc dữ liệu và giải thuật 
- CN. Nguyễn Đình Tuân 
Linh kiện điện tử 
- TS. Bùi Thanh Tùng 
Kỹ thuật điện 
-  PGS.TS. Chử Đức Trình",Nghỉ học đi em,duma ôn tín hiệu đi a
"Anh chị ơi , cho e xin Review thầy cô về mấy môn này được ko ak!!Cấu trúc dữ liệu và giải thuật 
- CN. Nguyễn Đình Tuân 
Linh kiện điện tử 
- TS. Bùi Thanh Tùng 
Kỹ thuật điện 
-  PGS.TS. Chử Đức Trình",Kỹ thuật điện chắc vẫn thầy Chí dạy thay thầy Trình thôi,"A học qua chưa a , thầy Trình ok k ak ^^"
"Anh chị ơi , cho e xin Review thầy cô về mấy môn này được ko ak!!Cấu trúc dữ liệu và giải thuật 
- CN. Nguyễn Đình Tuân 
Linh kiện điện tử 
- TS. Bùi Thanh Tùng 
Kỹ thuật điện 
-  PGS.TS. Chử Đức Trình",Kỹ thuật điện chắc vẫn thầy Chí dạy thay thầy Trình thôi,"kỹ thuật điện khoa cơ, điện tử vs hàng k đều học nhưung mỗi bên co 1 giảng viên mà"
"Anh chị ơi , cho e xin Review thầy cô về mấy môn này được ko ak!!Cấu trúc dữ liệu và giải thuật 
- CN. Nguyễn Đình Tuân 
Linh kiện điện tử 
- TS. Bùi Thanh Tùng 
Kỹ thuật điện 
-  PGS.TS. Chử Đức Trình",Kỹ thuật điện chắc vẫn thầy Chí dạy thay thầy Trình thôi,T thầy năm ngoái bn điện tử viễn thông toàn thầy Chí dạy
"Anh chị ơi , cho e xin Review thầy cô về mấy môn này được ko ak!!Cấu trúc dữ liệu và giải thuật 
- CN. Nguyễn Đình Tuân 
Linh kiện điện tử 
- TS. Bùi Thanh Tùng 
Kỹ thuật điện 
-  PGS.TS. Chử Đức Trình",Nguyễn Trọng Linh đm người ae thấy gì chưa =)) tự hào vc,đăng ký học thầy Tuân thôi
"Anh chị ơi , cho e xin Review thầy cô về mấy môn này được ko ak!!Cấu trúc dữ liệu và giải thuật 
- CN. Nguyễn Đình Tuân 
Linh kiện điện tử 
- TS. Bùi Thanh Tùng 
Kỹ thuật điện 
-  PGS.TS. Chử Đức Trình",Nguyễn Trọng Linh đm người ae thấy gì chưa =)) tự hào vc,Hic thầy Tuân ơi cho em học cải thiện với. Ctdl em được có D thôi
"Anh chị ơi , cho e xin Review thầy cô về mấy môn này được ko ak!!Cấu trúc dữ liệu và giải thuật 
- CN. Nguyễn Đình Tuân 
Linh kiện điện tử 
- TS. Bùi Thanh Tùng 
Kỹ thuật điện 
-  PGS.TS. Chử Đức Trình",Nguyễn Trọng Linh đm người ae thấy gì chưa =)) tự hào vc,Hoàng Linh đăng kí học thầy Tuân chưa bạn?
"Anh chị ơi , cho e xin Review thầy cô về mấy môn này được ko ak!!Cấu trúc dữ liệu và giải thuật 
- CN. Nguyễn Đình Tuân 
Linh kiện điện tử 
- TS. Bùi Thanh Tùng 
Kỹ thuật điện 
-  PGS.TS. Chử Đức Trình",Hóng ké ;)),.
"Anh chị ơi , cho e xin Review thầy cô về mấy môn này được ko ak!!Cấu trúc dữ liệu và giải thuật 
- CN. Nguyễn Đình Tuân 
Linh kiện điện tử 
- TS. Bùi Thanh Tùng 
Kỹ thuật điện 
-  PGS.TS. Chử Đức Trình",......,.
"Anh chị ơi , cho e xin Review thầy cô về mấy môn này được ko ak!!Cấu trúc dữ liệu và giải thuật 
- CN. Nguyễn Đình Tuân 
Linh kiện điện tử 
- TS. Bùi Thanh Tùng 
Kỹ thuật điện 
-  PGS.TS. Chử Đức Trình",m học linh kiện điện tử ???,Thịnh Nguyễn  ừ ?? Nhà trường sắp đấy
"Anh chị ơi , cho e xin Review thầy cô về mấy môn này được ko ak!!Cấu trúc dữ liệu và giải thuật 
- CN. Nguyễn Đình Tuân 
Linh kiện điện tử 
- TS. Bùi Thanh Tùng 
Kỹ thuật điện 
-  PGS.TS. Chử Đức Trình",m học linh kiện điện tử ???,Nguyễn Trọng Dũng  môn này nghe tên lạ thật .khoa điện tử viễn thông à
"Anh chị ơi , cho e xin Review thầy cô về mấy môn này được ko ak!!Cấu trúc dữ liệu và giải thuật 
- CN. Nguyễn Đình Tuân 
Linh kiện điện tử 
- TS. Bùi Thanh Tùng 
Kỹ thuật điện 
-  PGS.TS. Chử Đức Trình",m học linh kiện điện tử ???,Thịnh Nguyễn  đúng r a
"mọi người cho em xin ít review về môn kỹ thuật điều khiển của cô Vân và thầy Triển với ạ ,:(",Học cô Vân em ơi,
"Em chào anh/chị ! 
Anh/ chị nào có slide bài giảng Vật Lý Đại Cương 2 của các thầy/ cô thì có thể cho em xin được không ạ? 
Em lên tài liệu VNU nhưng trên đấy gần như không có slide bài giảng môn này, vậy nên mong anh/ chị giúp em ạ. 
",Vlđc 2 cần gì học mấy đâu đề ck trường cho như giveaway A+ à,"Viet Anh Đâu, do lớp mình toàn các bạn học chăm chỉ nghiêm túc với thầy cô dạy hay nên đề nào cũng dễ chứ"
"Em chào anh/chị ! 
Anh/ chị nào có slide bài giảng Vật Lý Đại Cương 2 của các thầy/ cô thì có thể cho em xin được không ạ? 
Em lên tài liệu VNU nhưng trên đấy gần như không có slide bài giảng môn này, vậy nên mong anh/ chị giúp em ạ. 
",Vlđc 2 cần gì học mấy đâu đề ck trường cho như giveaway A+ à,Viet Anh Vì đề cuối kì vật lý 1 vừa rồi khó nên em nghĩ kì 2 cũng sẽ khó anh ạ.
"Em chào anh/chị ! 
Anh/ chị nào có slide bài giảng Vật Lý Đại Cương 2 của các thầy/ cô thì có thể cho em xin được không ạ? 
Em lên tài liệu VNU nhưng trên đấy gần như không có slide bài giảng môn này, vậy nên mong anh/ chị giúp em ạ. 
",Vlđc 2 cần gì học mấy đâu đề ck trường cho như giveaway A+ à,Thành viên ẩn danh kì 2 bọn a như giveaway A+
"Em chào anh/chị ! 
Anh/ chị nào có slide bài giảng Vật Lý Đại Cương 2 của các thầy/ cô thì có thể cho em xin được không ạ? 
Em lên tài liệu VNU nhưng trên đấy gần như không có slide bài giảng môn này, vậy nên mong anh/ chị giúp em ạ. 
",Bạn muốn xin slide của Thầy/Cô nào,Đặng Dũng Thầy/ cô nào cũng được anh ạ.
"Em chào anh/chị ! 
Anh/ chị nào có slide bài giảng Vật Lý Đại Cương 2 của các thầy/ cô thì có thể cho em xin được không ạ? 
Em lên tài liệu VNU nhưng trên đấy gần như không có slide bài giảng môn này, vậy nên mong anh/ chị giúp em ạ. 
",Bạn muốn xin slide của Thầy/Cô nào,Anonymous member https://www.facebook.com/share/cn6XDZfBtjgrTR7r/?mibextid=WC7FNe
"Em chào anh/chị ! 
Anh/ chị nào có slide bài giảng Vật Lý Đại Cương 2 của các thầy/ cô thì có thể cho em xin được không ạ? 
Em lên tài liệu VNU nhưng trên đấy gần như không có slide bài giảng môn này, vậy nên mong anh/ chị giúp em ạ. 
",https://drive.google.com/.../1NJXVbIZCGQt8hkHfobFOAgSamnP... tặng em,Cong Minh Pham em cảm ơn anh nhiều ạ
Mọi người cho em xin review môn Tin Sinh Học của thầy Cao Cường được không ạ,cả lớp trên 8.,bạn cho mình hỏi về hình thức học và thi được không
Mọi người cho em xin review môn Tin Sinh Học của thầy Cao Cường được không ạ,cả lớp trên 8.,"chả học gì đâu, mấy buổi đầu thầy giảng mấy cái kiến thức sinh học ltinh, r chia thành các nhóm chuẩn bị tìm hiểu 1 bài báo về tin sinh học -> lên thuyết trình xoay vòng tầm 2 3 buổi mỗi nhóm -> lấy điểm giữa kỳ và cuối kỳ"
Mọi người cho em xin review môn Tin Sinh Học của thầy Cao Cường được không ạ,cả lớp trên 8.,Phạm Tuấn Hiệp đằng cấp
Mọi người cho em xin review môn Tin Sinh Học của thầy Cao Cường được không ạ,cả lớp trên 8.,"Phạm Tuấn Hiệp đúng là pro, phán câu nào câu đấy căng đét"
Mọi người cho em xin review môn Tin Sinh Học của thầy Cao Cường được không ạ,cả lớp trên 8.,ông hoàng review
Mọi người cho em xin review môn Tin Sinh Học của thầy Cao Cường được không ạ,cả lớp trên 8.,chúa tể póc phốt
Mọi người cho em xin review môn Tin Sinh Học của thầy Cao Cường được không ạ,Nguyễn Hoàng chỉ giáo môn này auto A+ 10 tròn,"Vinh Quang Tran Auto A+, muốn được A mà không được cứ phải A+ thôi"
Mọi người cho em xin review môn Tin Sinh Học của thầy Cao Cường được không ạ,Nguyễn Hoàng chỉ giáo môn này auto A+ 10 tròn,Vinh Quang Tran chán lắm cơ. Muốn điểm A thầy cứ bắt nhận A+
"Mọi người cho tớ xin review Môn Nguyên Lý Hệ Điều Hành học thế nào với( thầy Hiếu, thầy Thành, thầy Châu,cô Hậu, thầy Chiến  ..) môn này là môn tự chọn vs t",thấy Hiếu,"thầy full nhanh quá, môn này thế nào bạn?"
"Mọi người cho tớ xin review Môn Nguyên Lý Hệ Điều Hành học thế nào với( thầy Hiếu, thầy Thành, thầy Châu,cô Hậu, thầy Chiến  ..) môn này là môn tự chọn vs t",thấy Hiếu,trừu tượng hóa
"Mọi người cho tớ xin review Môn Nguyên Lý Hệ Điều Hành học thế nào với( thầy Hiếu, thầy Thành, thầy Châu,cô Hậu, thầy Chiến  ..) môn này là môn tự chọn vs t",thấy Hiếu,khó lắm hả ?
"Mọi người cho tớ xin review Môn Nguyên Lý Hệ Điều Hành học thế nào với( thầy Hiếu, thầy Thành, thầy Châu,cô Hậu, thầy Chiến  ..) môn này là môn tự chọn vs t",thấy Hiếu,Khá khó
"Mọi người cho tớ xin review Môn Nguyên Lý Hệ Điều Hành học thế nào với( thầy Hiếu, thầy Thành, thầy Châu,cô Hậu, thầy Chiến  ..) môn này là môn tự chọn vs t",thấy Hiếu,Nhưng lấy 7-8 điểm thì chăm là được
"Mọi người cho tớ xin review Môn Nguyên Lý Hệ Điều Hành học thế nào với( thầy Hiếu, thầy Thành, thầy Châu,cô Hậu, thầy Chiến  ..) môn này là môn tự chọn vs t",thấy Hiếu,con lấy 10 thì cần siêu nhân
"Mọi người cho tớ xin review Môn Nguyên Lý Hệ Điều Hành học thế nào với( thầy Hiếu, thầy Thành, thầy Châu,cô Hậu, thầy Chiến  ..) môn này là môn tự chọn vs t",thầy đương nhé bạn,thầy đấy chỉ học môn thông thôi
"Mọi người cho tớ xin review Môn Nguyên Lý Hệ Điều Hành học thế nào với( thầy Hiếu, thầy Thành, thầy Châu,cô Hậu, thầy Chiến  ..) môn này là môn tự chọn vs t",Môn đấy khó vcc nhé bạn.,"học rồi à, A thôi đúng k? :))"
"Mọi người cho tớ xin review Môn Nguyên Lý Hệ Điều Hành học thế nào với( thầy Hiếu, thầy Thành, thầy Châu,cô Hậu, thầy Chiến  ..) môn này là môn tự chọn vs t",thầy sơn nhé bạn  vô hoxx,cút
"Mọi người cho tớ xin review Môn Nguyên Lý Hệ Điều Hành học thế nào với( thầy Hiếu, thầy Thành, thầy Châu,cô Hậu, thầy Chiến  ..) môn này là môn tự chọn vs t","thầy hiếu, học nguyên slide + ghi chép mấy bt, ví dụ thầy đưa ra trên lớp là ok (có thể trúng vào cuối kì)giữa kì, cuối kì xem tài liệu thoải mái",
"Các bạn cho mình xin review môn bóng chuyền da được khum ạ, có thầy cô nào gắt gắt mà dạy môn này k  Mình cảm ơn nhée",Có thầy huychungtom gắt nhất :)),Nguyễn Đăng Quang thầy quát gắt lắm hả bạn:))
"Các bạn cho mình xin review môn bóng chuyền da được khum ạ, có thầy cô nào gắt gắt mà dạy môn này k  Mình cảm ơn nhée",Có thầy huychungtom gắt nhất :)),Nguyễn Đăng Quang à bạn ơi thầy huychungtom là 1 thầy hay 3 thầy thế bạn:))
"Các bạn cho mình xin review môn bóng chuyền da được khum ạ, có thầy cô nào gắt gắt mà dạy môn này k  Mình cảm ơn nhée",Có thầy huychungtom gắt nhất :)),"Nguyễn Đăng Quang Bạn đùa à, thấy thầy dễ tính với học chill chill mà"
"Các bạn cho mình xin review môn bóng chuyền da được khum ạ, có thầy cô nào gắt gắt mà dạy môn này k  Mình cảm ơn nhée",môn gdtc cơ bản là điền kinh phải ko mọi người?,Đông Trùng mình thấy mã môn giống hệt điền kinh nên chắc cũng k khác nhau về nội dung học bạn ạ
M.n cho e xin review về các thầy cô dạy môn mạng máy tính và công nghệ phần mềm vs ạ,Chấm,
M.n cho e xin review về các thầy cô dạy môn mạng máy tính và công nghệ phần mềm vs ạ,Mạng máy tính học Hồ Đắc Phương nhé ;)),Bọn e hok tin 4 thầy phương năm nhất r mà thầy dạy hơi chán :))) nên ko biết mạng máy tính có ổn ko
M.n cho e xin review về các thầy cô dạy môn mạng máy tính và công nghệ phần mềm vs ạ,Mạng máy tính học Hồ Đắc Phương nhé ;)),"Đỗ Hương Mình thấy thầy giảng khá hay, nếu chú ý nghe thì ok đấy.Còn nếu muốn dễ pass thì học thầy Nam."
M.n cho e xin review về các thầy cô dạy môn mạng máy tính và công nghệ phần mềm vs ạ,Mạng máy tính học Hồ Đắc Phương nhé ;)),chia sẻ từ 1 thanh niên sắp học lại thầy lần 2 :))
M.n cho e xin review về các thầy cô dạy môn mạng máy tính và công nghệ phần mềm vs ạ,Mạng máy tính học Hồ Đắc Phương nhé ;)),"Thầy phương dạy hay mà mỗi tội nếu học thầy mấy tiết đầu h thì k nên,đặc biệt những thanh niên hay ngủ nước thích đi học muộn thì nên tránh"
M.n cho e xin review về các thầy cô dạy môn mạng máy tính và công nghệ phần mềm vs ạ,Mạng máy tính học Hồ Đắc Phương nhé ;)),Vâng e cảm ơn ạ
M.n cho e xin review về các thầy cô dạy môn mạng máy tính và công nghệ phần mềm vs ạ,Mạng máy tính học Hồ Đắc Phương nhé ;)),Chả biết cc thế nào chứ t thấy mất gốc từ bài hello world
M.n cho e xin review về các thầy cô dạy môn mạng máy tính và công nghệ phần mềm vs ạ,Mạng máy tính học Hồ Đắc Phương nhé ;)),Dạy dc mà học thày còn có tư duy nghìn đô nữa
M.n cho e xin review về các thầy cô dạy môn mạng máy tính và công nghệ phần mềm vs ạ,Mạng máy tính học Hồ Đắc Phương nhé ;)),Các thánh thì ko ns
M.n cho e xin review về các thầy cô dạy môn mạng máy tính và công nghệ phần mềm vs ạ,Mạng máy tính học Hồ Đắc Phương nhé ;)),học thầy hồ đắc phương auto giữa kỳ đc sử dụng tài liệu nhưng cứ ngó ngoáy sang bên cạnh auto đánh dấu bài.thầy sẽ dọa thi giữa kỳ nhưng đến buổi cuối thầy mời cho thi
M.n cho e xin review về các thầy cô dạy môn mạng máy tính và công nghệ phần mềm vs ạ,Mạng máy tính học Hồ Đắc Phương nhé ;)),cần thêm gì e ib a nhé
M.n cho e xin review về các thầy cô dạy môn mạng máy tính và công nghệ phần mềm vs ạ,thầy bá duy e nhé,bá duy thì các bé xác định đi
M.n cho e xin review về các thầy cô dạy môn mạng máy tính và công nghệ phần mềm vs ạ,thầy bá duy e nhé,a đang hc DMS của thầy
M.n cho e xin review về các thầy cô dạy môn mạng máy tính và công nghệ phần mềm vs ạ,học mạng máy tính thì cứ thầy Sơn mà tiến thôi,theo mk thấy điểm dễ A+ hay ko là do từng người chứ cũng chỉ có 1 số môn thầy dễ thôi
M.n cho e xin review về các thầy cô dạy môn mạng máy tính và công nghệ phần mềm vs ạ,học mạng máy tính thì cứ thầy Sơn mà tiến thôi,ừ cũng đúng nhưng thầy Sơn dạy hay
M.n cho e xin review về các thầy cô dạy môn mạng máy tính và công nghệ phần mềm vs ạ,Mạng máy tính học thầy Hồ Đắc Phương nhá. Sách mạng máy tính trường mình là do thầy viết :)),
M.n cho e xin review về các thầy cô dạy môn mạng máy tính và công nghệ phần mềm vs ạ,Nguyễn Vũ Đông đây này c,
"Mn ơi kì này môn dsa em có những thầy cô như sau:● Thầy Nguyễn Việt Hà- cô Vương Thị Hải Yến● Thầy Lê Quang Hiếu- thầy Kiều Hải Đăng● Thầy Lê Quang Hiếu- thầy Ngô Xuân Trường● Cô Nguyễn Nhật Thanh- cô Nguyễn Thị Thu Trang A● Thầy Bùi Ngọc Thăng- cô Vương Thị Hải Yến● Thầy Nguyễn Việt Anh- cô Vương Thị Hải Yến●Cô Ngô Thị Duyên- cô Nguyễn Thị Thu Trang A●Cô Ma Thị Châu- cô Nguyễn Thị Thu Trang A 
Mn có thể cho em xin review về các thầy cô kể trên được k ạ và em nên lựa chọn học lớp của thầy cô nào ạ. Em cảm ơn.",Auto cô Ma Thị Châu nhé,Nguyễn Hoàng cô dạy hay lắm hả anh. Anh có thể nói rõ hơn chút đc k ạ
"Mn ơi kì này môn dsa em có những thầy cô như sau:● Thầy Nguyễn Việt Hà- cô Vương Thị Hải Yến● Thầy Lê Quang Hiếu- thầy Kiều Hải Đăng● Thầy Lê Quang Hiếu- thầy Ngô Xuân Trường● Cô Nguyễn Nhật Thanh- cô Nguyễn Thị Thu Trang A● Thầy Bùi Ngọc Thăng- cô Vương Thị Hải Yến● Thầy Nguyễn Việt Anh- cô Vương Thị Hải Yến●Cô Ngô Thị Duyên- cô Nguyễn Thị Thu Trang A●Cô Ma Thị Châu- cô Nguyễn Thị Thu Trang A 
Mn có thể cho em xin review về các thầy cô kể trên được k ạ và em nên lựa chọn học lớp của thầy cô nào ạ. Em cảm ơn.",Auto cô Ma Thị Châu nhé,"Thành viên ẩn danh cô chỉ dạy rất tận tình, với lại học cô thì bạn có cơ hội xin cô hướng dẫn các môn về sau như đồ án, thực tập, dự án,..... Cô lo từ A đến Z cho bạn luôn"
"Mn ơi kì này môn dsa em có những thầy cô như sau:● Thầy Nguyễn Việt Hà- cô Vương Thị Hải Yến● Thầy Lê Quang Hiếu- thầy Kiều Hải Đăng● Thầy Lê Quang Hiếu- thầy Ngô Xuân Trường● Cô Nguyễn Nhật Thanh- cô Nguyễn Thị Thu Trang A● Thầy Bùi Ngọc Thăng- cô Vương Thị Hải Yến● Thầy Nguyễn Việt Anh- cô Vương Thị Hải Yến●Cô Ngô Thị Duyên- cô Nguyễn Thị Thu Trang A●Cô Ma Thị Châu- cô Nguyễn Thị Thu Trang A 
Mn có thể cho em xin review về các thầy cô kể trên được k ạ và em nên lựa chọn học lớp của thầy cô nào ạ. Em cảm ơn.",Auto cô Ma Thị Châu nhé,Nguyễn Hoàng em cảm ơn anh ạ
"Mn ơi kì này môn dsa em có những thầy cô như sau:● Thầy Nguyễn Việt Hà- cô Vương Thị Hải Yến● Thầy Lê Quang Hiếu- thầy Kiều Hải Đăng● Thầy Lê Quang Hiếu- thầy Ngô Xuân Trường● Cô Nguyễn Nhật Thanh- cô Nguyễn Thị Thu Trang A● Thầy Bùi Ngọc Thăng- cô Vương Thị Hải Yến● Thầy Nguyễn Việt Anh- cô Vương Thị Hải Yến●Cô Ngô Thị Duyên- cô Nguyễn Thị Thu Trang A●Cô Ma Thị Châu- cô Nguyễn Thị Thu Trang A 
Mn có thể cho em xin review về các thầy cô kể trên được k ạ và em nên lựa chọn học lớp của thầy cô nào ạ. Em cảm ơn.","học cô Châu 1 lần mà vẫn nice xừ, cô Châu 10đ không có nhưng nhé em.",em cảm ơn anh
"Dạ ai cho em xin rv môn Kỹ năng khởi nghiệp của cô Hoàng Thị Hải Yến với thầy Chử Đức Hoàng với ạNên học ai và hình thức thi của 2 thầy cô này như nào, em xin cảm ơn ạ","học cô Yến vui lắm bạn, có nhiều hoạt động hay, điểm cô cho cũng cao, giữa kỳ pitching với cô, cuối kỳ làm tiểu luận",Tien Dung phần làm tiểu luận có khó lắm k ạ
"Dạ ai cho em xin rv môn Kỹ năng khởi nghiệp của cô Hoàng Thị Hải Yến với thầy Chử Đức Hoàng với ạNên học ai và hình thức thi của 2 thầy cô này như nào, em xin cảm ơn ạ","học cô Yến vui lắm bạn, có nhiều hoạt động hay, điểm cô cho cũng cao, giữa kỳ pitching với cô, cuối kỳ làm tiểu luận","Hiếu Phạm dễ lắm = )), t làm đúng 1 ngày được 9đ"
"Dạ ai cho em xin rv môn Kỹ năng khởi nghiệp của cô Hoàng Thị Hải Yến với thầy Chử Đức Hoàng với ạNên học ai và hình thức thi của 2 thầy cô này như nào, em xin cảm ơn ạ","học cô Yến vui lắm bạn, có nhiều hoạt động hay, điểm cô cho cũng cao, giữa kỳ pitching với cô, cuối kỳ làm tiểu luận",Hiếu Phạm ae mk có thể collab vs nha
"Dạ ai cho em xin rv môn Kỹ năng khởi nghiệp của cô Hoàng Thị Hải Yến với thầy Chử Đức Hoàng với ạNên học ai và hình thức thi của 2 thầy cô này như nào, em xin cảm ơn ạ","học cô Yến vui lắm bạn, có nhiều hoạt động hay, điểm cô cho cũng cao, giữa kỳ pitching với cô, cuối kỳ làm tiểu luận",Trần Huy Hoàng cẹc
"Dạ ai cho em xin rv môn Kỹ năng khởi nghiệp của cô Hoàng Thị Hải Yến với thầy Chử Đức Hoàng với ạNên học ai và hình thức thi của 2 thầy cô này như nào, em xin cảm ơn ạ",Cô Yến học cực đã :)) cô cực kì tâm huyết =)) nói chung là tuyệt vời =)),
"Dạ ai cho em xin rv môn Kỹ năng khởi nghiệp của cô Hoàng Thị Hải Yến với thầy Chử Đức Hoàng với ạNên học ai và hình thức thi của 2 thầy cô này như nào, em xin cảm ơn ạ",Shubarb Trần,Nguyễn Minh Tuấn có 1 sự thật là môn này cực kỳ dễ qua với thầy (xin lỗi thầy e k nhớ tên) . Và có 1 buổi offline hội nghị bàn tròn 5 nhớ đời Trần Hoàng Sơn
"Dạ ai cho em xin rv môn Kỹ năng khởi nghiệp của cô Hoàng Thị Hải Yến với thầy Chử Đức Hoàng với ạNên học ai và hình thức thi của 2 thầy cô này như nào, em xin cảm ơn ạ",Tâm Văn Lê,
"Mọi người cho em xin riviu về các môn tự chọn với ạ. Kì sau e vẫn còn full 15 tín nhưng  chưa biết nên học môn nào và thầy cô nào cho hợp lý =(( 
Những môn đánh dấu là những môn e dự định sẽ đăng ký. Nhưng môn nào dễ mn recommend giúp e ở dưới nhé. 
Mn riviu luôn thầy cô dạy môn đó luôn nhé 
Thầy cô khó tính cũng được nhưng cho điểm hợp lý là được ạ",quản lý dự án phần mềm m học r à,chưa m. t đánh dấu những môn dự định sẽ học
"Mọi người cho em xin riviu về các môn tự chọn với ạ. Kì sau e vẫn còn full 15 tín nhưng  chưa biết nên học môn nào và thầy cô nào cho hợp lý =(( 
Những môn đánh dấu là những môn e dự định sẽ đăng ký. Nhưng môn nào dễ mn recommend giúp e ở dưới nhé. 
Mn riviu luôn thầy cô dạy môn đó luôn nhé 
Thầy cô khó tính cũng được nhưng cho điểm hợp lý là được ạ",thu thập phân tích yêu cầu,
"Mọi người cho em xin riviu về các môn tự chọn với ạ. Kì sau e vẫn còn full 15 tín nhưng  chưa biết nên học môn nào và thầy cô nào cho hợp lý =(( 
Những môn đánh dấu là những môn e dự định sẽ đăng ký. Nhưng môn nào dễ mn recommend giúp e ở dưới nhé. 
Mn riviu luôn thầy cô dạy môn đó luôn nhé 
Thầy cô khó tính cũng được nhưng cho điểm hợp lý là được ạ",quản lý dự án,môn đấy c học với thầy nào đó?
"Mọi người cho em xin riviu về các môn tự chọn với ạ. Kì sau e vẫn còn full 15 tín nhưng  chưa biết nên học môn nào và thầy cô nào cho hợp lý =(( 
Những môn đánh dấu là những môn e dự định sẽ đăng ký. Nhưng môn nào dễ mn recommend giúp e ở dưới nhé. 
Mn riviu luôn thầy cô dạy môn đó luôn nhé 
Thầy cô khó tính cũng được nhưng cho điểm hợp lý là được ạ",quản lý dự án,"chỉ có 1 thầy dạy thôi mà, đúng với yêu cầu luôn nhé"
"Mọi người cho em xin riviu về các môn tự chọn với ạ. Kì sau e vẫn còn full 15 tín nhưng  chưa biết nên học môn nào và thầy cô nào cho hợp lý =(( 
Những môn đánh dấu là những môn e dự định sẽ đăng ký. Nhưng môn nào dễ mn recommend giúp e ở dưới nhé. 
Mn riviu luôn thầy cô dạy môn đó luôn nhé 
Thầy cô khó tính cũng được nhưng cho điểm hợp lý là được ạ","Quản lý dự án ok đó, chăm làm bt các thứ là đc, cuối kì thì có dạng bài chỉ cần ôn kĩ là đc",môn đấy có bt lớn ko Giỏi ưi?
"Mọi người cho em xin riviu về các môn tự chọn với ạ. Kì sau e vẫn còn full 15 tín nhưng  chưa biết nên học môn nào và thầy cô nào cho hợp lý =(( 
Những môn đánh dấu là những môn e dự định sẽ đăng ký. Nhưng môn nào dễ mn recommend giúp e ở dưới nhé. 
Mn riviu luôn thầy cô dạy môn đó luôn nhé 
Thầy cô khó tính cũng được nhưng cho điểm hợp lý là được ạ",thiết kế giao diện khá easy,Trần Văn Phong Môn đấy có btl ko ạ? Nó có giống môn phân tích và thiết kế hdt ko a?
